Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-11-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-04-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-28-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-21-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-14-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-07-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-28-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-21-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-14-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-07-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-31-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-24-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-17-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-10-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 01-03-2026,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-27-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-20-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 12-13-2025,,,,,,,,,,,,,,,,,,
